workspace_name,domain_name,domain_pool_status,total_inboxes,dead_count,alive_count,alive_connected,alive_disconnected,dead_connected,dead_disconnected,last_killed_date,last_alive_date,subscription_cancel_eligible
Spout,choosespoutwater.com,burned,23,6,17,17,0,6,0,2026-04-15,2026-04-30,False
Spout,usespoutwater.com,live,23,5,18,18,0,5,0,2026-04-17,2026-04-30,False
Spout,pickspoutwater.com,live,14,5,9,9,0,5,0,2026-04-27,2026-04-30,False
Spout,dewspoutwater.com,live,15,5,10,10,0,5,0,2026-04-14,2026-04-30,False
Spout,gospoutwater.com,burned,14,4,10,10,0,4,0,2026-04-14,2026-04-30,False
Spout,experiencespoutwater.com,burned,13,3,10,10,0,3,0,2026-04-16,2026-04-30,False
Spout,tryspoutwater.com,live,14,3,11,11,0,3,0,2026-04-14,2026-04-30,False
Spout,enjoyspoutwater.com,burned,6,3,3,3,0,3,0,2026-03-13,2026-04-30,False
Spout,thrivespoutwater.com,live,3,2,1,1,0,2,0,2026-04-30,2026-04-30,False
Spout,trustspoutwater.com,live,3,2,1,1,0,2,0,2026-03-13,2026-04-30,False
Stable Kernel,hellostablekernel.com,burned,52,2,50,50,0,2,0,2026-04-28,2026-04-30,False
Stable Kernel,growwithkernel.com,burned,52,2,50,50,0,2,0,2026-04-24,2026-04-30,False
Stable Kernel,gostablekernel.com,burned,52,2,50,50,0,2,0,2026-04-14,2026-04-30,False
Stable Kernel,stablekernelnow.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Stable Kernel,tunestablekernel.com,unassigned,2,0,2,2,0,0,0,,2026-04-30,False
Stable Kernel,optimizekernel.com,unassigned,2,0,2,2,0,0,0,,2026-04-30,False
Stable Kernel,stablekerneltech.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Stable Kernel,enjoystablekernel.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Stable Kernel,trainstablekernel.com,unassigned,2,0,2,2,0,0,0,,2026-04-30,False
Stable Kernel,evolvestablekernel.com,unassigned,2,0,2,2,0,0,0,,2026-04-30,False
Stable Kernel,inferstablekernel.com,unassigned,2,0,2,2,0,0,0,,2026-04-30,False
Stable Kernel Market Research,extractstablekernel.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Stable Kernel Market Research,computestablekernel.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Stable Kernel Market Research,securestablekernel.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
